Title,Link
Public Trust Demands Open-Source Voting Systems,https://www.voting.works/news/public-trust-demands-open-source-voting-systems
Neural audio codecs: how to get audio into LLMs,https://kyutai.org/next/codec-explainer
"LLMs Can Get ""Brain Rot""",https://llm-brain-rot.github.io/
The Greatness of Text Adventures,https://entropicthoughts.com/the-greatness-of-text-adventures
StarGrid: A Brand-New Palm OS Strategy Game in 2025,"https://quarters.captaintouch.com/blog/posts/2025-10-21-stargrid-has-arrived,-a-brand-new-palm-os-strategy-game-in-2025.html"
Is Sora the Beginning of the End for OpenAI?,https://calnewport.com/is-sora-the-beginning-of-the-end-for-openai/
Ilo – a Forth system running on UEFI,https://asciinema.org/a/Lbxa2w9R5IbaJqW3INqVrbX8E
"Our modular, high-performance Merkle Tree library for Rust",https://github.com/bilinearlabs/rs-merkle-tree
Apple alerts exploit developer that his iPhone was targeted with gov spyware,https://techcrunch.com/2025/10/21/apple-alerts-exploit-developer-that-his-iphone-was-targeted-with-government-spyware/
Diamond Thermal Conductivity: A New Era in Chip Cooling,https://spectrum.ieee.org/diamond-thermal-conductivity
Sell tickets to concerts agentically – Hive (YC S14) is hiring,item?id=45656230
Katakate: Dozens of VMs per node for safe code exec: K8s+Kata+Firecracker,https://github.com/Katakate/k7
UA 1093,https://windbornesystems.com/blog/ua-1093
RF Shielding History: When the FCC Cracked Down on Computers,https://tedium.co/2025/10/20/computers-fcc-rf-interference-history/
"Show HN: Clink – Bring your own CLI Agents, Ship instantly",https://clink.new
AI Is Making Us Work More,https://tawandamunongo.dev/posts/2025/10/ai-work-more
AWS multiple services outage in us-east-1,https://health.aws.amazon.com/health/status?ts=20251020
Language Support for Marginalia Search,https://www.marginalia.nu/log/a_126_multilingual/
The Emulator's Gambit: Executing Code from Non-Executable Memory,https://redops.at/en/blog/the-emulators-gambit-executing-code-from-non-executable-memory
Ask HN: Our AWS account got compromised after their outage,item?id=45657345
Quantum dynamics on your laptop? New technique moves us closer,https://www.buffalo.edu/news/releases/2025/10/quantum-dynamics-on-your-laptop.html
Pasta/80 is a simple Pascal cross compiler targeting the Z80 microprocessor,https://github.com/pleumann/pasta80
KDE Connect: Enabling communication between all your devices,https://community.kde.org/KDEConnect
Foreign hackers breached a US nuclear weapons plant via SharePoint flaws,https://www.csoonline.com/article/4074962/foreign-hackers-breached-a-us-nuclear-weapons-plant-via-sharepoint-flaws.html
Show HN: I'm making a detective game built on Wikipedia,https://detective.wiki/
Solving the Wrong Problem,https://www.ufried.com/blog/ai_assisted_coding/
Weekend projects: Chicken Squisher 3000,https://lcamtuf.substack.com/p/weekend-projects-chicken-squisher
Practical Scheme,https://practical-scheme.net/index.html#docs
A laser pointer at 2B FPS [video],https://www.youtube.com/watch?v=o4TdHrMi6do
Show HN: ASCII Automata,https://hlnet.neocities.org/ascii-automata/
